location,logical_location,country,spot,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
Whistler,British Columbia,Canada,Whistler Blackcomb,50.116322,-122.957359,"Skiing, snowboarding, ice skating, snowshoeing","Largest ski resort in North America, world-renowned for its terrain.",$$$$,10,"skiing, snowboarding, ice skating, snowshoeing, world-class",https://pixabay.com/get/g6fcd91c30fc68cde4d1a63d30c91a825d7488f1b88a5f12f8231e2d53cf0ad792feb51958e7dce2f6fc7763eb82f2e2f_640.jpg
Crans-Montana,Valais Alps,Switzerland,Crans-Montana Ski Resort,46.3072,7.4763,"Skiing, snowboarding, cross-country skiing",Sprawling Swiss resort with sunny slopes and panoramic views.,$$$,8,"skiing, snowboarding, swiss alps, scenic, sun",https://pixabay.com/get/gc620d9f338e0ada21298d38e1a56129c093aeed5025f46bd2e70ef42bb19542cb6eb4dc1eec981e4f27d3c423632f24e72f9206127829c8b345882cd497ad5e9_640.jpg
Suva,Fiji,Fiji,Suva Municipal Market,-18.1255,178.4503,"Explore local produce, handicrafts, and street food.",Bustling market offering a taste of Fijian life.,$,7,"market, shopping, local culture, food",https://pixabay.com/get/gbe6e3b29814529f5e90464d475a541c88d49e4748532a9fa82fe533e0779e82bb7bfefe6605cc9881254cdd070bcf7e27c08e9c647258dd5da2c157b87d8f0a4_640.jpg
Honiara,Solomon Islands,Solomon Islands,Honiara Central Market,-9.4314,159.9548,"Discover local crafts, produce, and experience daily life.",Vibrant market showcasing Solomon Islands culture.,$,6,"market, shopping, local culture, crafts",https://pixabay.com/get/g835e6a0efbd864e30e5bd165e53ec77968b8afc424b7a7d63a5da8b903f3f8d91e49b302e9592fb3e1f2e2c040f7ec778277833ee181f187f10a038bfa135434_640.jpg
Port Vila,Vanuatu,Vanuatu,Port Vila Municipal Market,-17.7373,168.3163,"Shop for souvenirs, local produce, and enjoy street food.",Bustling market with local goods and vibrant atmosphere.,$,6,"market, shopping, souvenirs, food",https://pixabay.com/get/gc2195c6a1a4c4719b653239742de558e488d7cecf2d220162fe9d9f9d0007d060d10c66c02c4ebeeee67027023644a211f6d16fb5c831d1ffdd447cb3f9f1f4a_640.jpg
Apia,Samoa,Samoa,Fugalei Market (Marketi Fou),-13.8436,-171.7652,"Explore local crafts, food, and experience Samoan culture.",Vibrant market offering traditional crafts and local delicacies.,$,7,"market, shopping, local culture, crafts, food",https://pixabay.com/get/g5cb0d71d8465cd104769ed9dcc3f81449dc6a459533b3859499ca5166b13fa9f793ad999bad9b8a2a32b7ed6f7455300e630d0e9cfaa38871ba272d6814fb85c_640.jpg
Papeete,French Polynesia,France,Municipal Market (Marché Municipal),-17.5375,-149.5716,"Discover local crafts, pearls, and fresh produce.",Bustling market with Tahitian pearls and local crafts.,$$,8,"market, shopping, pearls, crafts, food",https://pixabay.com/get/g2ef69972600e580d4448feee8eb75c55fbc7d851497d486fff53f70949bcb95a0e23a9aabcf4284b9c0abdd4cd7a219d8ad7de355e48bf44828b67340617f86d_640.jpg
Avarua,Cook Islands,New Zealand,Punanga Nui Market,-21.2046,-159.7779,"Shop for souvenirs, local produce, and enjoy live music.","Vibrant Saturday market with crafts, food, and entertainment.",$,7,"market, shopping, souvenirs, food, music",https://pixabay.com/get/gf5f4fa38a6143786506d7a0b9178425aaa5f41412b4bc02f94794ec9e9adde9033d74739849617ed4109e68ef2692d138b63583161af601315f4243b3e8797cd_640.jpg
Nouméa,New Caledonia,France,Baie des Citrons (Lemon Bay),-22.2774,166.4381,"Explore waterfront shops, restaurants, and enjoy beachside ambiance.","Lively bayside area with shops, cafes, and vibrant nightlife.",$$,8,"shopping, dining, nightlife, beach",https://pixabay.com/get/g255e87be7c10e49f4fc48a647797ebbdf621ae8488286f246eb6cb8d3c09f762fa4bd120c04cd73c49269617ba881ef277be5ed95089ced339f66e6e3cd77b8a_640.jpg
Nuku'alofa,Tonga,Tonga,Talamahu Market,-21.1345,-175.2118,"Browse local produce, handicrafts, and Tongan souvenirs.",Bustling market for local goods and Tongan crafts.,$,7,"market, shopping, crafts, souvenirs, food",https://pixabay.com/get/g1e33f03f2273ee5125900e0b3635864c649f0f65fa67e71070ac763e3862d35a05c49c9bf3de05aa1b04adb7bdc01f0fd8fdbfc8fed16128127e4685560ae4e9_640.jpg
Majuro,Marshall Islands,Marshall Islands,Delap-Uliga-Djarrit (DUD) area,7.1058,171.1583,"Explore local shops, government buildings, and island life.",Main urban center with shops and administrative buildings.,$,5,"urban exploration, local life, shopping",https://pixabay.com/get/gba8968ba0a7264ecd2463a4b0f84ad7aec37c70492adbc664d381aa03fc375af3731f8e51f4066eaeb1aa49d96f8bfa80dee7041084d60f53800a4f34bf6cc9e_640.jpg
Tarawa,Kiribati,Kiribati,Betio Town Council Area,1.3667,172.95,Discover WWII remnants and local island life.,Densely populated area with WWII history and island culture.,$,5,"urban exploration, history, local life",https://pixabay.com/get/ga923883b1685904118070cdce082e2a7e832d5757f963cac94c91da2a131d954344da4cad8a2d94317b89c7c3cad94efd6869f0c3c5b89c43d4c9a446fff9d5b_640.jpg
Ubud,Bali,Indonesia,Ubud Monkey Forest & Yoga Barn,-8.5078,115.2644,"Yoga and meditation amidst lush nature, spiritual healing.","Spiritual heart of Bali, known for yoga, meditation, and spa treatments.",$$,9,"yoga,meditation,spiritual,healing,nature",https://pixabay.com/get/gcd8c00d952db316c888baa137f272f90089fb0011e99e15c08674781bc77034a88637b500b6ca84dc5d3ce62ec0e40ea68682388d9eb53885ee1e7909d4e0db6_640.jpg
Canggu,Bali,Indonesia,Serenity Eco Retreat,-8.6677,115.1334,"Yoga, surfing, and holistic wellness in a beachfront setting.","Eco-conscious retreat offering yoga, surf, and wellness programs.",$$,7,"yoga,surf,eco-friendly,wellness,beach",https://pixabay.com/get/gfe74801614b8bf8b04f603b5fc183943c269a37fa90e37886fd69db921bfa7b36449cd0c59d5bc2e22f03cb5396f242089d9d9d9fc7bf6cf8f26d1c4d3db9118_640.jpg
Chiang Mai,Northern Thailand,Thailand,San Kamphaeng Hot Springs,18.7611,99.1117,Soaking in mineral-rich hot springs surrounded by nature.,Natural hot springs offering therapeutic mineral waters and relaxation.,$,6,"hot springs,relaxation,nature,therapuetic",https://pixabay.com/get/gc4b2aa7e045f990a9fa2ab613ba7a7bff0cba50b71509ab87f8799e92ded9c24d35177af872c6e8d35afae74cc77f05c65e0e87b580b562bc8983f4244c6be18_640.jpg
Luang Prabang,Laos,Laos,Kuang Si Falls & Meditation Centers,19.8646,102.1375,"Meditative walks, waterfall visits, and spiritual exploration.","Serene town with waterfalls, temples, and opportunities for meditation.",$$,7,"meditation,nature,waterfalls,spiritual,culture",https://pixabay.com/get/gfbe0ece403ae5792c593e0ea1628877ac9ad748f5c74f2401e08a90101b04da084d84eb1b6153ffac57960aa3046ed20ff45621c20da11820eea73d9c16a94e6_640.jpg
Phu Quoc Island,Vietnam,Vietnam,TĨNH Wellness Sanctuary at La Veranda Resort,10.2212,103.9617,"Holistic spa treatments, yoga, and relaxation by the sea.",Luxury spa resort offering holistic wellness and rejuvenating treatments.,$$$,7,"spa,wellness,yoga,luxury,beach",https://pixabay.com/get/g5cfdcb8e12f233b9fe40fb9797b9436d6bfbc3aad7307e047fa8ba405741eb78b4f7a989bee58aac0d90b891faba039f7c7754440891b9166791ef8ee117d748_640.jpg
Koh Lanta,Krabi Province,Thailand,Oasis Yoga Bungalows,7.6121,99.0441,"Yoga, meditation, and healthy eating in a relaxed beach setting.",Laid-back island with yoga studios and natural spas.,$$,6,"yoga,meditation,beach,wellness,relaxed",https://pixabay.com/get/gc3b1a24532ee84038fcc19a763432c75f5373f5990c7e6125cb800be4c5f6e576a2f4c553b8743269d9cca19a9cb438c96bac3a98ecdf4bc2b4c2391c04deeda_640.jpg
Dambulla,Sri Lanka,Sri Lanka,Amuna Ayurveda & Wellness Retreat,7.8355,80.6495,"Ayurvedic treatments, yoga, and meditation in a natural setting.",Authentic Ayurveda and wellness retreat focused on traditional Sri Lankan living.,$$$,6,"ayurveda,wellness,yoga,meditation,holistic",https://pixabay.com/get/g23043b0f03e3bcb353a0ea6418950d47f476f53ac11f03fee64f4ac97499d1f695bd1640c9749d29c798d13c8e007af194db0709e4bf231e95c1d76ce2e7161c_640.jpg
Sigiriya,Sri Lanka,Sri Lanka,Ayurvie Sigiriya,7.9563,80.7546,Ayurvedic treatments and yoga near Sigiriya Rock.,Ayurveda retreat embracing nature and ancient healing practices.,$$$,6,"ayurveda,wellness,yoga,healing,nature",https://pixabay.com/get/g05b391a5d09fd6a98d2669de780d9a5fc84dec6a33a0a8615d17e8aa93c336550576c71670572cf87a6c440bc33b69f96ca3f01a9df43d52d15a9ac60fc6e70c_640.jpg
Siem Reap,Cambodia,Cambodia,Mizu Spa Siem Reap,13.3675,103.8553,Traditional Khmer healing practices and modern wellness techniques.,Sanctuary for relaxation and rejuvenation with Khmer healing.,$,7,"spa,massage,Khmer,healing,relaxation",https://pixabay.com/get/gf9b735ed8b41b54521f4b00981b5bcbd2945283528b8c94beb29ed2ab2ba5488aae9cf1f73a16fcccdff48e757a913423eb03a1df032a81a35a61288bae8baac_640.jpg
Tagaytay,Calabarzon,Philippines,Nurture Wellness Village,14.1153,120.9506,"Holistic wellness, traditional Filipino massages, and yoga.",Peaceful sanctuary offering holistic wellness and traditional Filipino healing.,$$,7,"wellness,spa,yoga,meditation,filipino",https://pixabay.com/get/g2f701f2f16f119b2134ebe9ea3ab4ac8d57ef989a6ac06661a283c47de27cfce508336814749da1e99967752cb8706f42813ee864500bb98b0a2e45db0e3a0cc_640.jpg
Andaman and Nicobar Islands,Andaman Islands,India,Havelock Island,11.9798,92.9599,"Diving, Snorkeling","Pristine beaches and rich marine life, ideal for divers of all levels.",$$,8,"diving, snorkeling, marine life, beaches",https://pixabay.com/get/gbc06593d20b68e8c5372c6be4504ce9a23113b9200032048fca9c26edc619adc83d041d7e76e3aef27267715b729ec1e_640.jpg
Maldives,Maldives,Maldives,Baa Atoll,5.0833,72.9167,"Snorkeling, Diving",UNESCO Biosphere Reserve famous for its rich coral reefs and diverse marine life.,$$$,9,"snorkeling, diving, marine life, coral reefs, UNESCO",https://pixabay.com/get/ga14b5e8a5e199b5490274f719826db45a86da57381fade82b7ad6f3f92e5469fb3c1eda9b9b28557b00da7da3c0a6dc54bd2e56ebde598f71a8656b05feb2bdf_640.jpg
Arugam Bay,Eastern Province,Sri Lanka,Arugam Bay Beach,6.8333,81.8333,Surfing,"Renowned surf spot with consistent waves, attracting surfers of all levels.",$$,8,"surfing, beach, waves, beginner-friendly",https://pixabay.com/get/g130fd131294425c5214148ed2ff8f2f509e77abd902a9ea461441532757446546b50d4038f5a9ef7ebc491adaee32aa29149c5cba5c98e7b12eee5ed0d4e88f3_640.jpg
Goa,Goa,India,Calangute Beach,15.5055,73.7755,"Jet Skiing, Parasailing, Banana Boat Rides",Popular beach offering a variety of thrilling motorized water sports.,$$,7,"jet ski, parasailing, banana boat, beach",https://pixabay.com/get/g1d084c8835ed41934a39d26a35fc94ddf866487ec134c438d8a5eb9100164215b464c78780d6c85e9e1b0fc39c5a8b29_640.jpg
Batu Karas,West Java,Indonesia,Batu Karas Point,-8.3536,108.5848,Surfing,"Gentle right-hand point break, ideal for beginners and longboarders.",$,6,"surfing, beginner, longboard, beach",https://pixabay.com/get/g61e0c7323fcdd9b3d60bd4975fb15bdb2ef6bf83e68c335a14c0017e34da4d1646672e76168307c5b6c92b36b0f50162609f505bdba2c29d609a3989e2c68f05_640.jpg
Koh Lanta,Krabi Province,Thailand,Koh Haa,7.5167,99.0667,"Diving, Snorkeling","Archipelago with colorful reefs, caverns, and abundant marine life.",$$,8,"diving, snorkeling, marine life, islands, caverns",https://pixabay.com/get/g30aa8d905f7403291025d4cbf04b1dc5c8d7f77f3f7f4fcabf37abef92bca0c39ad301ef715775c1e297bbf7ec619ea71b03b88d55edfa233a5234d63076aefe_640.jpg
El Nido,Palawan,Philippines,Bacuit Bay,11.1822,119.4157,"Snorkeling, Kayaking","Stunning limestone karsts, hidden lagoons, and vibrant coral reefs for snorkeling.",$$,9,"snorkeling, kayaking, lagoons, limestone karsts",https://pixabay.com/get/gabfd3ce90aeca6c1c0cb87f59e490b95c9002ac8c66219c70a205af74461f3c8f1522bb0d4a2c4b8b1988edb01bce21242d2905485b267a1d86569dd4c6f79b1_640.jpg
Bay Islands,Honduras,Honduras,Roatan,16.3076,-86.0071,"Diving, Snorkeling","Mesoamerican Barrier Reef offers walls, wrecks, and abundant marine life.",$$,8,"diving, snorkeling, barrier reef, marine life, wrecks",https://pixabay.com/get/g805b56315f62605db08dc0f8d33351cbe882b871f0346501283b928309f7c9985bd5743c49c56c8b602272aefbc7fcb0d6f35fe64763fe44651e51cb1650ca50_640.jpg
Phuket,Phuket Province,Thailand,Racha Yai Island,7.7667,98.4167,"Snorkeling, Diving","Clear waters with coral bommies and diverse fish species, ideal for snorkeling.",$$,7,"snorkeling, diving, coral, marine life, clear water",https://pixabay.com/get/g369058e298ae3382605f1c134c5250eaae75e58559dcde62e0fbb28b405248bdadabf514944df90e27a804741eb0c748c0a4373daba4fd17cac93ded85201d82_640.jpg
Weligama,Southern Province,Sri Lanka,Weligama Bay,5.9745,80.4343,Surfing,"Perfect for beginners with consistent, gentle waves and numerous surf schools.",$,7,"surfing, beginner, waves, beach, surf school",https://pixabay.com/get/gd2d966be614c80e8ed73384d1d87ee9c7c6bfc58b3d900c25d4810b110ca9bb8e522e8fe40408a11f521215f5b3fc7349443206bd5c72f1b13eecca10861e9cc_640.jpg
Downtown Dubai,Dubai,United Arab Emirates,Burj Khalifa,25.1972,55.2744,Ascend to observation decks for panoramic city views.,"World's tallest building, offering unparalleled city vistas.",$$$$,10,"skyscraper, modern architecture, observation deck, city views",https://pixabay.com/get/g2879af0abcb554e60d1248117ac42ea868093cea212e8f6901f866ea9c3e4005199a29c71766467e492d74b433804b897004de5cc2a268328b3f966f1fd29011_640.jpg
Old City,Jerusalem,Palestine,Dome of the Rock,31.778,35.2354,Admire the stunning Islamic architecture and mosaics.,"Iconic octagonal shrine with a golden dome, a spiritual center.",$$,9,"religious site, Islamic architecture, historical, Jerusalem",https://pixabay.com/get/g19e5b7d07f5095a7cd1ee4df4bcc2993b232d3e9aff4eef74b2c53e9dc75dcd0d945e6ef08dec045a776fb1d2b469bdd_640.jpg
Giza,Giza,Egypt,Pyramids of Giza,29.9792,31.1342,Explore the ancient pyramids and the Sphinx.,"Majestic ancient wonders, including the Great Pyramid and Sphinx.",$$,10,"ancient history, wonder of the world, archaeology, Egypt",https://pixabay.com/get/g951e363ec4bf80bf3f650b89d660eecc7d96161b63832017f623c0651c2c64d3da2f06677a427457cfccff2544fc9398aa09d32081c28135054ce2ccdf2e5335_640.jpg
Al Ain,Abu Dhabi Emirate,United Arab Emirates,Al Ain Oasis,24.218375,55.759771,Wander through date palm groves and see ancient falaj irrigation.,"A lush, ancient oasis, a UNESCO World Heritage site.",$,6,"nature, history, UNESCO, oasis, agriculture",https://pixabay.com/get/gdaee7e2b9aaba7350664b6534db5ffc3b1cd00d5c2be144eae8e1069f2b87642399df164387b569c0300a908c074d1aa_640.jpg
Abu Dhabi,Abu Dhabi,United Arab Emirates,Sheikh Zayed Grand Mosque,24.412179,54.47387,Marvel at the intricate Islamic architecture and serene courtyards.,A breathtakingly beautiful modern mosque with stunning white domes.,$$,9,"mosque, Islamic architecture, religious, modern",https://pixabay.com/get/gb5d9a810179c3ddff66e2a375ef277b1c3bc70813ba6a29ed2132ba5f2316f5bd27d6e810304e43d6d9353bd4470b36193964ce95fdd57591c98de60d858988e_640.jpg
Mecca,Mecca,Saudi Arabia,Masjid Al-Haram (The Grand Mosque),21.4225,39.8262,"Perform Umrah or Hajj, or circumambulate the Kaaba.","Islam's holiest site, home to the Kaaba.",$$$$,10,"religious site, Islam, pilgrimage, Kaaba",https://pixabay.com/get/g7554ff99288353b262573028af0bee822c56427802aacfff2bbb02dfa588fa636cf1025d131179e20a9b77156488b54b40323fcd7452e56a5a92df5dbc29be1c_640.jpg
Petra,Petra,Jordan,Petra - The Rose City,30.32096,35.47895,Explore the ancient city carved into sandstone cliffs.,A UNESCO World Heritage site with magnificent rock-cut architecture.,$$,9,"ancient city, archaeology, UNESCO, rock-cut, Jordan",https://pixabay.com/get/g1755bb2809f6ef67b0aed5a5eb9657dba9d1d7b112eb71df37fa122deeacd24527b854aeb95e33de010fb613ce0f06e2e6e2b7ff68198d743660011715c2dfde_640.jpg
Dubai,Dubai,United Arab Emirates,Jumeirah Mosque,25.233599,55.265153,Take a guided tour to learn about Islamic culture and architecture.,A beautiful example of medieval Fatimid architecture open to non-Muslims.,$,7,"mosque, Islamic architecture, cultural tour, Dubai",https://pixabay.com/get/gc1a874907abf4049dd91b54ae74dfd6087fe0fea2ac8af19a7d0ee031d2f2208093849479b1b969fd6e5d459ed9ab9c47a32ca2595405947450a98ad18ed4ff1_640.jpg
Manama,Manama,Bahrain,Bahrain National Museum,26.241125,50.59834,Discover Bahrain's history from ancient Dilmun to the present day.,Bahrain's premier museum showcasing its rich heritage.,$$,7,"museum, history, archaeology, culture, Bahrain",https://pixabay.com/get/g5d168f88f969910e39ff0214467c552969dc69659d7a4477d3e24e825b139a123c31d839d046c9454fcc49a33257e34c5417e1ac4b56816f8517c9507b490a0a_640.jpg
Saadiyat Island,Abu Dhabi,United Arab Emirates,Louvre Abu Dhabi,24.533627,54.397954,Explore world-class art and cultural exhibitions in a stunning architectural setting.,A universal museum showcasing human creativity and cultural exchange.,$$$,8,"museum, art, culture, architecture, Abu Dhabi",https://pixabay.com/get/g707d8aebb87b2f32c8c33811c0dffa63f12176fec79b7d3ca8100560a00488c9a64f6c56bdbff28822448deb00fecafc_640.jpg
Zakopane,Tatra Mountains,Poland,Giewont,49.2268,19.9592,hiking,Iconic peak with challenging trails and stunning panoramic views.,$$,8,"hiking,mountains,scenic,challenging",https://pixabay.com/get/gb9f460577807aee4915bacfa1e49b2067041e2f33c07a5b510b64f469cceda44a6425f881840c5862fc92cbe210fe6fec7259d2fb52a72d811ea7f407a181183_640.jpg
Cortina d'Ampezzo,Dolomites,Italy,Tre Cime di Lavaredo,46.6271,12.2954,climbing,Famous rock formations offering various climbing routes from beginner to advanced.,$$$,9,"climbing,mountains,rock formations,scenic",https://pixabay.com/get/g16cf08200b41eedffbbfcc84e5cbee311e240cc4aa445617107264174825e95250b45f1682d2f3c852ae0b28812e0cfc9b059d1cd207e9ec911c7a27ce755180_640.jpg
Plitvice Lakes National Park,Lika,Croatia,Čikola Canyon,44.0393,15.949,zip-lining,Soar over the canyon with thrilling zip-line adventures near the park.,$$,7,"zip-lining,canyon,adventure,nature",https://pixabay.com/get/ga407f42e0e807f83f922b8a69f7fc3d23444b93c59509966bb23d7b3f4b0d9a1ce9d51251be2e3f17a5e920f7a54b4a7b15b02e78c27e9120ae36f8868bdac24_640.jpg
Central Balkan National Park,Balkan Mountains,Bulgaria,Botev Peak,42.7269,24.9469,hiking,"Highest peak in the Balkan Mountains, offering challenging hikes and vast views.",$$,7,"hiking,mountains,peak,scenic",https://pixabay.com/get/gd32b18c2f6b437e6a06c134bfddcc19f93e6ee779b9cac1b7e5d9664e6082f58c4961adefb910acf1d9bc7b19dec58c0db26374d2b3c321c279e3d4cab2c0bc0_640.jpg
Triglav National Park,Julian Alps,Slovenia,Mount Triglav,46.3833,13.8333,climbing,"Slovenia's highest peak, offering technical climbs and iconic national symbol.",$$$,8,"climbing,mountains,peak,national symbol",https://pixabay.com/get/gab29abac4b642b425563a31b4d762ecd3f952da9013d5bd81bea4e5c0cb0df83f6899774bb4a40b6baad12412031c7d05ecb26fd4ec89854d7cd403511bafc2f_640.jpg
Krka National Park,Šibenik-Knin County,Croatia,Krka River Canyon,43.9667,15.9667,zip-lining,Experience zip-lining with stunning views of waterfalls and the canyon.,$$,7,"zip-lining,waterfalls,nature,adventure",https://pixabay.com/get/g48874a57e1b760cba20a2e29b95a9ed341d0b0dd2fe5e7f0817da5e631a075098ed24a3e20383a67d92a29190d8b2cf1cb2e04edfd897fb7c11459a53a234f89_640.jpg
Carpathian Mountains,Transylvania,Romania,Piatra Craiului National Park,45.4167,25.3333,hiking,Dramatic limestone ridge offering challenging hikes and unique landscapes.,$$,7,"hiking,mountains,ridge,scenic",https://pixabay.com/get/g75692aad453e9f474563e8b6490f64f8d9092335f70b9ecac5eeea6c4bf8507e18933874629cd17eeeaba59409f11b21c22b97ed1ff7f23c5bd23178229646b7_640.jpg
Mount Olympus National Park,Thessaly and Macedonia,Greece,Mytikas Peak,40.0833,22.3667,climbing,"Mythological home of the gods, offering challenging scrambles to the highest summit.",$$$,9,"climbing,mountains,mythology,peak",https://pixabay.com/get/g711473141d12ca71906c6fd627c2c8f0e0a47274789efcc7dfbbc5acc0edc82eb6b7ac3fea4c08ec3cc176b16acd2aca17ad9710ca1aac484f4424df36a916a4_640.jpg
Piva Lake,Durmitor National Park,Montenegro,Tara River Canyon,43.1886,18.8667,zip-lining,"Longest zip-line in Montenegro, soaring over Europe's second deepest canyon.",$$$,8,"zip-lining,canyon,adventure,scenic",https://pixabay.com/get/gecd907739309621724538cf8549ea98202d88714d06d6ec4df249dafdd50cf27eb05d540482c0c240fc34780ec5ff55112033c2a63dfa01ba712cab4a27d397b_640.jpg
High Tatras National Park,Tatra Mountains,Slovakia,Koprovský štít,49.1667,20.05,hiking,"Offers stunning views of glacial lakes and surrounding peaks, with some scrambling.",$$,7,"hiking,mountains,lakes,scenic",https://pixabay.com/get/g29168086b5051059a9df74b354de96244e5cee4b1c47730c2bcb76d083827095774291f652ec5b145269a89bb7ba284f_640.jpg
Marrakesh,Morocco,Morocco,Jemaa el-Fna Square,31.6237,-7.9956,"Street food tasting, local delicacies","Bustling square with diverse street food, from tagine to msemen.",$$,9,"street food,local cuisine,market",https://pixabay.com/get/g0ce39f7c6f027f8de63b78061033fc9c56a1897014913b8a5223934f3e68c3b4c1ae173581fe3fb8c93f97c5b05bb37194500a588647843c8facc00b7cb41526_640.jpg
Essaouira,Morocco,Morocco,Latifa Cooking Classes / Essaouira Cooking Class,31.5115,-9.7749,Hands-on Moroccan cooking class with market tour,Learn authentic Moroccan dishes in a family kitchen with a market visit.,$$$,7,"cooking class,culinary experience,local culture",https://pixabay.com/get/gdfb31b7048f2e4efdb0b851ef87566501ec51cdbf530dbc3d835e767e0bf099703946a2a6ff27e207630a6ef8d49e982_640.jpg
Cairo,Egypt,Egypt,Khan el-Khalili Bazaar,30.0455,32.5612,"Street food exploration, traditional Egyptian snacks",Historic bazaar offering a vibrant street food scene and local snacks.,$,8,"street food,market,cultural immersion",https://pixabay.com/get/g400a8a1f311a2e47f8caeb3f1891596c240f90f139586837d93d4821e844b2be751fff1339577e35f64561cf47774b34372963c4e34b67c8b1e635c78930e039_640.jpg
Alexandria,Egypt,Egypt,Mohamed Ahmed Restaurant,31.2001,29.9044,Authentic Egyptian breakfast and lunch,Famous for traditional Egyptian breakfast like foul and falafel.,$$,6,"local cuisine,breakfast,casual dining",https://pixabay.com/get/g4b3acc16bfccc3de2b6a8b06ed2cdca8f196a76ad8e3933bc97f313ad921ef75b879295bb15dcc549fc76b41af7764db5d901af443a726ff9445560f3901803c_640.jpg
Tunis,Tunisia,Tunisia,Marché Central de Tunis (Tunis Central Market),36.8035,10.1775,Street food tasting and market exploration,Vibrant central market offering diverse street food and local produce.,$,7,"street food,market,local produce",https://pixabay.com/get/gd35528f2481b60beb9bdc0bb59e43dffe76984ef1332e97abdb308489bbed3f520339716fd553b0d849da286d1f81110_640.jpg
Algiers,Algeria,Algeria,Le QG,36.7524,3.0485,Fusion and international cuisine,Offers a mix of international and fusion dishes in a contemporary setting.,$$,5,"international cuisine,fusion,modern dining",https://pixabay.com/get/gc60a2446279cc360acca129f2f097a56438f1d32a730e0b00ee749d575a0c4bfd026a525763efe788e61c8a2278a958c7222554459c7e1b6491accf5d708f60b_640.jpg
Luxor,Egypt,Egypt,Nile River Felucca Ride with Dinner,25.7079,32.641,Dinner cruise on the Nile,Scenic dining experience on a traditional felucca boat along the Nile.,$$$,7,"dining experience,Nile cruise,romantic",https://pixabay.com/get/g85db73842f7d9c9c6f34ddd86310cf23c66b5fe8ae6d2595c6f71dd98aac298ac64e7c8f0ed6692fe07dc130919acf563438be8c695e4ad134e312208cff76b4_640.jpg
Fez,Morocco,Morocco,Fes El Bali Medina,34.0595,-5.002,Street food tasting and traditional Moroccan dishes,Explore ancient medina for authentic street food and traditional Moroccan fare.,$$,8,"street food,medina,traditional",https://pixabay.com/get/g97c6d3a20cc03083de80458ffefef85f9c022e7d17b95ef208671cd2e93dbed46793757c0526a379ee4cc454843b4d928e69f91b98ac44a438feda7b621b2e79_640.jpg
Sidi Bou Said,Tunisia,Tunisia,Cafés in Sidi Bou Said,36.8793,10.3191,Enjoying traditional Tunisian pastries and mint tea,Charming seaside village known for its blue and white architecture and cafes.,$$,7,"cafes,pastries,scenic",https://pixabay.com/get/g18bd1d514526dc0fbc75076a4c1cea4608aa2c67cde83a1c4715e20d0f76525f37495130714f9efb597be80502ddd7d65bb47bce6381e27374e7a30b867ffc53_640.jpg
El Jem,Tunisia,Tunisia,Local Restaurants near the Amphitheatre,35.3175,10.6984,Sampling regional Tunisian cuisine,Enjoy local dishes near the impressive Roman amphitheater.,$$,6,"local cuisine,regional dishes,historic site",https://pixabay.com/get/ge172c93cf59b5c62323d43b7354a5b7def78048b301bfdce297f03867d994abec4fb9970cf975a5dfc1a0fbd0138b983db41c8d1854b61d46ba433281ad8a58a_640.jpg
Whistler,Whistler Blackcomb,Canada,Whistler Blackcomb Ski Resort,50.1163,-122.9573,Skiing and snowboarding,North America's largest ski resort with vast terrain and deep powder.,$$$$,10,"skiing, snowboarding, backcountry, terrain parks, scenic views",https://pixabay.com/get/gee30ca477d227396c19d9ef5e9ad259b1c72ef79e204e59f93448d91c2c883d66aa12fac84d8dd03e89df9e9627309d7_640.jpg
Banff,Banff National Park,Canada,Banff Sunshine Village,51.4762,-115.9646,Skiing and snowboarding,"Known for its long season, abundant snowfall, and stunning Rockies views.",$$$,9,"skiing, snowboarding, high altitude, long season, scenic",https://pixabay.com/get/gfe5c0539ac589ac5c581b834e09374f0054af412e6ff4c95024b101176f7b0272f6a2bed3bd6701f9da75c060a3805557491ba363e85c1249cdbaa6c6ff53d26_640.jpg
Lake Louise,Banff National Park,Canada,Lake Louise Ski Resort,51.4314,-116.0074,Skiing and snowboarding,Offers diverse terrain across four mountain faces with breathtaking views.,$$$,9,"skiing, snowboarding, bowls, scenic, diverse terrain",https://pixabay.com/get/g4b339cf7cb62980295f0fc6baf9aeb739de20e9eaf7e048b81e480fd561726faedffae74ba2fe4ce9d02e34404152995af589da922d19af71bdea4313b79a8f2_640.jpg
Vail,Colorado Rockies,United States,Vail Ski Resort,39.6408,-106.3738,Skiing and snowboarding,Famous for its luxurious atmosphere and vast Back Bowls terrain.,$$$$$,10,"skiing, snowboarding, luxury, back bowls, terrain parks",https://pixabay.com/get/g705745e57c54fce3729531c013e6209386f889196244c915b1bad58ec2f095044c9935869add44dd558f9bf299354fa5a018ce2304cbbb82905c534ed4ef367a_640.jpg
Aspen/Snowmass,Colorado Rockies,United States,Snowmass Ski Area,39.2213,-106.9459,Skiing and snowboarding,"Expansive terrain suitable for all levels, with a vibrant village atmosphere.",$$$$$,10,"skiing, snowboarding, diverse terrain, nightlife, luxury",https://pixabay.com/get/g9e5fb34fc14034d8313cda4430d506a30ac866be3042f1b3865957a3bd30841523027b672fd7ca9a88cfce604b939eca_640.jpg
