location,logical_location,country,spot,latitude,longitude,activity,description,price_class,prominence_score,tags,image_url
San Pedro La Laguna,,Guatemala,Bar Sublime,14.6725,-91.2578,"Experience varied music genres, from techno to live music and open mic nights, with stunning lake views.","A popular bar with varied music, events, and lake views.",$$,5,"bars,live-music,dj,lake-view",https://pixabay.com/get/g7988e6604a181234337dfaeb9a413dc6253c949cbbecc88f1fefee5e04b3ec1fab2a65f634be9ed5bbe701a02d6f3a9372b6bb62f32f9803d8c4e39fc25d88bd_640.jpg
Mérida,,Mexico,Dzalbay Cantina,20.9678,-89.6238,Enjoy live blues and jazz acts in a historic cantina with a large outdoor terrace.,Historic cantina hosting live blues and jazz music.,$$,5,"live-music,jazz,blues,cantina",https://pixabay.com/get/gdc95dc770cc7efec3e30639bf6827ab6019ecea1b7058ae07fea7913ff743166fd452e92712a2523924cfc2fbdbba003910f8190e9c8771cac336d6f6a37bd27_640.jpg
El Tunco,,El Salvador,La Bonita Beach Club,13.4725,-89.4149,"Enjoy tasty food, creative cocktails, and an upbeat vibe at this beach bar with DJs.","Beach club with food, cocktails, DJs, and an upbeat vibe.",$$,6,"beach-club,dj,cocktails,food",https://pixabay.com/get/g3a12e97c451eb23d75c6882c79969757024ee617c65217154d06cb3e29f56db3ac2b43562c66dc140764b1e37b9ba6596b52f4077293b30f7eb6b2686b07db65_640.jpg
Jaco,,Costa Rica,Le Loft,9.6133,-94.6288,Dance the night away to hip hop and high-energy music in an upscale club with a rooftop terrace.,Upscale club with high-energy music and a rooftop terrace.,$$$,7,"nightclub,dancing,hip-hop,rooftop",https://pixabay.com/get/gc10ebe583f1cbba3a5c801aa8449103e1d0f97988d7402b710a1f8c2cc5d75ff8db081c82067b1dfe8b866f7ab784919_640.jpg
Roatan,,Honduras,Blue Marlin,16.3152,-86.9558,"Party late with energetic music, generous drinks, and a lively dance floor.",Energetic late-night bar and club with a lively dance floor.,$$,6,"nightclub,dancing,live-music,late-night",https://pixabay.com/get/gf33cea55fbccf79aa947a1934644721bc2099c9cd355bd1595f6e6278a2d7c173777dd07e5914d7862d0f29625e34b5ac6bcddcb6cfce571ebc1a52b1c5047d1_640.jpg
Placencia,,Belize,Tipsy Tuna,16.5146,-88.3725,"Enjoy a lively party atmosphere with dancing, games, karaoke, and occasional live music.","Lively beach bar with dancing, games, and karaoke.",$$,5,"beach-bar,dancing,karaoke,live-music",https://pixabay.com/get/g6ffe8e42edc3b04bf7ff750da6a467457db6aaa7e1df74ec486ed17d2540fdbb055f013a35ea02f45e7c6e917db58c88_640.jpg
San Juan,,Puerto Rico,Castillo San Felipe del Morro (El Morro),18.4693,-66.1212,"Explore the massive fortress, walk along its ramparts, and learn about its history defending the San Juan Bay.",A 16th-century Spanish citadel guarding San Juan Bay.,$,9,"historical site,fortress,coastal,UNESCO",https://pixabay.com/get/gd7fc41d462a28b898f6fe392bb55854458279de589ecb40479d3bd18593e0a16044c8467ef8a8a4b2814508558356b62e0a35abaa9c619e118c4cb0c1b025ea5_640.jpg
Basseterre,,Saint Kitts and Nevis,Brimstone Hill Fortress National Park,17.3457,-62.8368,Tour the well-preserved fortifications and enjoy panoramic views of the surrounding islands.,"A UNESCO World Heritage Site, a well-preserved fortress on a hill.",$$,8,"historical site,fortress,UNESCO,views",https://pixabay.com/get/g1c2e9fe828aa7b9f22f6c056390a2886dac3ec2492ee41bf88d2372f2272778ffe680901463cd36a473d8c52a4cee5ed6abbf636ea85fcbf573d2d7ecf00246b_640.jpg
English Harbour,,Antigua and Barbuda,Nelson's Dockyard,17.0052,-61.765,"Explore the Georgian-era dockyard, visit museums, and admire restored buildings.","A historic Georgian-era dockyard and marina, now a UNESCO site.",$$,7,"historical site,marina,UNESCO,colonial",https://pixabay.com/get/g71d30e779c84f11388be18f8b23cc0a5c868b1245732ffc4f65f18ee58e268a215652b97a4a3bb2109fa4fb3ca82e42372b6cfedfcafb88a3bfb86076fb537c1_640.jpg
Tinum Municipality,,Mexico,Chichen Itza,20.6843,-88.5678,"Wander through the ancient Mayan city, marvel at the Temple of Kukulcan, and explore the Great Ball Court.",A vast ancient Mayan city and one of the New Seven Wonders of the World.,$$$,10,"archaeological site,Mayan,UNESCO,iconic",https://pixabay.com/get/ge37415c4e70ba15edeebeaed1986a2f210357862e8822e8f3b468985ddf471220d47d3db3883bc5a1fe42e5fbe1360af9c49cc935136eaa38fbcfc1d43fc4172_640.jpg
Ocho Rios,,Jamaica,Dunn's River Falls,18.4158,-77.1381,"Climb the terraced waterfalls, swim in the lagoons, or relax on the adjacent beach.",Famous terraced waterfalls cascading into the Caribbean Sea.,$$,8,"natural attraction,waterfall,climbing,beach",https://pixabay.com/get/gb3fc728be8fa1a78b3223a8e0c1998e92fe27830c5e7d19cff5dc8db8f203843e3052565a0141eb3a33a4758692436801b73df90b53f4cf9e35c375c05de1289_640.jpg
Santo Domingo,,Dominican Republic,Colonial City of Santo Domingo,18.4703,-69.8928,"Explore the first European settlement in the Americas, visit the first cathedral, and wander historic streets.",The oldest continuously inhabited European settlement in the Americas.,$$,8,"historical site,colonial,UNESCO,city",https://pixabay.com/get/g1d227f5414285f58548c0d2f152014d5826b89f1619c6797352ded036de05f6a719e5690977312ec7f696486429cd5570a0e039f640ea55fa27acd02a3fbb2ea_640.jpg
Kingstown,,Saint Vincent and the Grenadines,Fort Charlotte,13.1583,-61.2421,"Enjoy panoramic views of Kingstown and the Grenadines, and learn about its history.",A British colonial fort with panoramic views of the island and sea.,$,5,"historical site,fortress,views,colonial",https://pixabay.com/get/g5fd8581f6d4e6d90c1a7559c396d9eada0c36f2c69dd1af5c493e5a687dea131507d528cc874dfe2b8ad1901f8266787fd805ea12e9b6f5981fcc5ff1d55b9d5_640.jpg
Gros Islet,,Saint Lucia,Pigeon Island National Landmark,14.08965,-60.95724,"Hike to Fort Rodney for views, explore historic ruins, and enjoy the beaches.",A historic island with colonial ruins and Fort Rodney.,$$,6,"historical site,national park,hiking,views",https://pixabay.com/get/g947e6ecb494048a926a3e497d953da24749e8f7946038c3d4b9a79a2ef2a8b8f38f9e7bcdc7ec97280fb9e73a5f42bb20597b80e9a8372db15d7144ddb700d58_640.jpg
Le Diamant,,Martinique,Diamond Rock,14.44194,-61.03889,"View the iconic basalt islet, known for its role in Napoleonic naval history; diving is popular here.",A strategic basalt islet with a unique naval history.,$$$,5,"natural landmark,historical,naval history,diving",https://pixabay.com/get/g8751c128cdc9543e8c22a470055f255418796e3c34e0178f6ca60284e702ef7f4967e9481eb68f6882a305b679448481_640.jpg
Kralendijk,,Bonaire,Fort Oranje,12.1379,-68.274,Explore the historic 17th-century fort and enjoy views of the sea; it now houses the island's harbor office.,"A 17th-century fort, the oldest structure in Kralendijk.",$,4,"historical site,fortress,colonial,maritime",https://pixabay.com/get/ga07ff652fb078666bfe2f54c6367b36806328ff3ac77e40a95cb35c36659eafa85385a519cc3c8e6bbd6236149d70afb779b0503e608abb2be6e7bd8eeeae65a_640.jpg
Canberra,,Australia,National Museum of Australia,-35.2931,149.1208,"Explore exhibits on Indigenous heritage, Australian settlement, and key historical events.","Museum showcasing 50,000 years of Australian history and culture.",$$,8,"history,culture,museum",https://pixabay.com/get/gd2cd09cd285e9923f6dfe793e63b1017b8e99cd933b1966e6a4e7c9d3497cb7bd7f713ea4f87c9e387b0734c9bfcd300c7325da84b8d6b6b3f71f3173730a0ba_640.jpg
Wellington,,New Zealand,Museum of New Zealand Te Papa Tongarewa,-41.2905,174.7819,Discover New Zealand's natural and cultural heritage through interactive displays and extensive collections.,"New Zealand's national museum, a vibrant hub of art, history, and culture.",$$,9,"history,culture,art,interactive",https://pixabay.com/get/gdd6f8247541794ff052e4edae629bf20a1bfc7c4a84e427189764550cdaf600a12134047537d74ac455c44ab51432679b2b90f18648fb82cf3f4e4aeeda00cf0_640.jpg
Suva,,Fiji,Fiji Museum,-18.1494,178.4259,Explore Fiji's rich history and culture through ancient artifacts and displays.,A treasure trove of Fijian history and cultural artifacts.,$,6,"history,culture,artifacts",https://pixabay.com/get/g5582d6f41cef90efe038c36b95edcec43869bebb03201d52f1a5c64740ad65d8ab51de8c8fe55b8bc7665905b89c8d143cbf2eff634c63f61ffb8a6203a76b58_640.jpg
Luganville,,Vanuatu,South Pacific WWII Museum,-15.5156,167.1732,Learn about World War II history in the South Pacific and the island's role.,Preserves the history of WWII in the South Pacific region.,$,4,"history,war,museum",https://pixabay.com/get/g07ee032b1b79eda15cedb4578c4c3d2a75d0464b23c316f04e304c63ee828e703fe4d62a77d4a363b7a97bdac7aefd6be32776ddd6a99c87a75c30a52a043add_640.jpg
Port Moresby,,Papua New Guinea,Papua New Guinea National Museum and Art Gallery,-9.4257,147.1899,Discover the diverse cultural heritage and artistic expressions of Papua New Guinea.,Showcases PNG's rich indigenous cultures and contemporary art.,$$,7,"culture,art,indigenous",https://pixabay.com/get/gcee7f8c807e6baadf92ac4cd93a12723a327e24fe2abd58e536ddb44fa25eaca13afb2138899a2404e8c13e4ad25b39993127c6260b42da33e003b1569bb4cec_640.jpg
Auckland,,New Zealand,Auckland War Memorial Museum,-36.8603,174.7778,"Explore New Zealand's history, natural environment, and military history.",A major museum and war memorial with extensive collections.,$$,8,"history,war,natural history,Maori culture",https://pixabay.com/get/g81dfb423fe65d62581d36cc202acbe924f7ce8f4fea3dc9c0929f9e745f3e6e4b1c53dc7fbf6944e6d0cb1c16abb38a9092d3e0f85d0e50fe166c750fac1a99f_640.jpg
Melbourne,,Australia,Queen Victoria Market,-37.8076,144.9567,"Wander through stalls of fresh produce, local goods, and souvenirs; experience a bustling market atmosphere.",Largest open-air market in the Southern Hemisphere.,$,9,"market,food,shopping,local",https://pixabay.com/get/g14a013ab5fe97e409ea0b5db321b13d01da6875787e8e91cf1168a80d7f02978abed3f81b79643b7def1f3b4e863ef1825d1e656cee889afa813be40c29c1208_640.jpg
Rarotonga,,Cook Islands,Punanga Nui Market,-21.2073,-159.7798,"Experience local culture, buy handicrafts, taste fresh produce and island food.",Vibrant local market showcasing Cook Islands culture and crafts.,$,5,"market,culture,handicrafts,food",https://pixabay.com/get/g5e23f33bf5c3abb1a7b3c6d91e38b978b813f00227795360005a9abf6dd59831669032b7a6fa07fc725e7087a7ef56d14e012f4766fd9304ce41bfe7fb3ea95e_640.jpg
Port Vila,,Vanuatu,Vanuatu Cultural Centre,-17.7455,168.3172,Learn about Vanuatu's diverse indigenous cultures through displays and archives.,National institution for preserving and promoting Vanuatu's diverse cultures.,$$,5,"culture,indigenous,museum,archives",https://pixabay.com/get/ga6e22ba321d167b2b60c12eac89c0670e6a6dbf4e0f5aee5b4733173792c1eb8761e4529fb823c343e87b20972be043ee4a0e20f96d85ee0cd54b982c63b7172_640.jpg
Sydney,,Australia,Australian National Maritime Museum,-33.8694,151.1985,Explore Australia's maritime history through engaging exhibits and historic vessels.,Showcases Australia's seafaring history and naval heritage.,$$,7,"maritime history,museum,ships,exhibits",https://pixabay.com/get/ga26c571c107e13a002d185509953f2c05f33b984a9592e69a62fbee3b2edbf2ee4edbe2233623ea673c91797b1a02556620fe40b17cbc9333ffcc1af8d705ad4_640.jpg
Bangkok,,Thailand,Yaowarat (Chinatown),13.7471,100.5054,Explore vibrant street food stalls and sample a wide array of Thai dishes.,Bangkok's Chinatown is a bustling hub for authentic street food.,$$,9,"street food,local cuisine,night market",https://pixabay.com/get/gdfab81b3d9eb7b09318beda8869879d4d8c4f795a30744733b7d50509e102827aba81cddf58013e222e337fb3d13d69b800507694d614996bc98142a6fcf24c7_640.jpg
Penang,,Malaysia,Georgetown,5.4194,100.3351,"Indulge in Penang's diverse street food, a fusion of Malay, Chinese, and Indian flavors.","Penang is renowned as Malaysia's food capital, with vibrant street food.",$$,8,"street food,hawker culture,cultural fusion",https://pixabay.com/get/ga4aa56f48a3da95f15401cfe2d9662d3c13c58f6560e6791506fd15388ea6be613a0647eb00fdf2ffcc1570ff8bc0a6c49d000bcc0bf9da1254309257e5fa1e1_640.jpg
Hanoi,,Vietnam,Old Quarter,21.0333,105.85,"Savor iconic Vietnamese dishes like Pho, Banh Mi, and Bun Cha from numerous street vendors.",Hanoi's Old Quarter is a must-visit for authentic Vietnamese street food.,$,9,"street food,vietnamese cuisine,historic district",https://pixabay.com/get/gac96aee5c4358a3f7a035f452f856f4384e7d3c5937f901568e05b708a2f7e7716d6f20194154792c5a9e8452480a17a36a384b0b11e54d25e8863ab56b9f444_640.jpg
Singapore,,Singapore,Maxwell Food Centre,1.2779,103.8414,Experience Singapore's hawker culture with diverse stalls offering local and international flavors.,"A premier hawker center in Singapore, famous for Hainanese Chicken Rice.",$,8,"hawker culture,local delights,iconic stalls",https://pixabay.com/get/ge3c43985b7beaf7ab998617e442296c763da59d3f137aaad38f2e82d7499f3791ec24e55755e77722df8a673936232275a3a39ef28ad89acc58e97b3c74604ce_640.jpg
Ho Chi Minh City,,Vietnam,Ben Thanh Market,10.7722,106.6946,Try a variety of Southern Vietnamese dishes and street food favorites.,A bustling market offering a taste of Ho Chi Minh City's vibrant food scene.,$$,8,"street food,southern vietnamese,market",https://pixabay.com/get/g68eacb3e5ddb1db18ebd40f6379f801f132cf600ac4b6f5d8f1170e5c35e19a9df6a565d59d52eb2591854c0be2600ab6bc7ed855e972e9c0530a5ff6a89b993_640.jpg
Chiang Mai,,Thailand,Warorot Market (Kad Luang),18.7916,98.9953,"Sample Northern Thai specialties, local snacks, and fresh produce.","Chiang Mai's largest market, offering a true taste of local Northern Thai food.",$$,7,"northern thai,local market,street food",https://pixabay.com/get/gdf21a9df420904a7776f79d79c73f80f082563b657fab7953dce09afeb8ee23e0a8f20f5b817e88705acf398f976f37d_640.jpg
Ubud,,Indonesia,"Local Cooking School (e.g., Ketut's Bali Cooking Class)",-8.4095,115.2643,Learn to cook authentic Balinese cuisine in a hands-on class.,Immerse yourself in Balinese culinary traditions with a cooking class.,$$$,6,"cooking class,balinese cuisine,cultural experience",https://pixabay.com/get/g083cf9c6d7454c35f5e0d6dddeb2e979549bd2dd582407406d5336c8b7af3dc654242ba0b239bf039b0903d62d1479111033f591aa9a3956c05cc7f59a466cc4_640.jpg
Luang Prabang,,Laos,Night Market,19.8957,102.1327,Explore diverse street food stalls offering local Laotian delicacies.,A vibrant night market with a wide array of delicious Laotian street food.,$,7,"street food,laotian cuisine,night market",https://pixabay.com/get/gb40c8889caa8eff8c1c8079cfe65f9bf17151beced5ed23bc8c07d9f923056456dd7ceb56f3730913688a0308f62808649941299033da8c27e8f8833ac800690_640.jpg
Siem Reap,,Cambodia,Central Market (Psar Chas),13.3574,103.8565,"Discover Cambodian flavors, from street food to local eateries.",A historic market offering a taste of authentic Khmer cuisine and street food.,$$,7,"cambodian cuisine,local market,street food",https://pixabay.com/get/g47d96ed4cafa7cbd7a30b82a63b0265e6fa3dc6a2a5499be80e597748eda02163b4876b9bcd1100270e50086a0d3f1ca9be059d1245f916999cd0a92fb216d00_640.jpg
Manila,,Philippines,Quiapo Market,14.5978,120.9818,"Try unique Filipino street food like Isaw, Balut, and Kwek-Kwek.",A bustling market known for its adventurous and authentic Filipino street food.,$,7,"filipino street food,adventurous eating,market",https://pixabay.com/get/g507cc4ae16add60e7c7f4c5eaaa3ab80f36fd850ca79a208c033a6413e7002cad324f515b37ff4641ef40be168c7e230be8773bda69f3924a5ba3b0bc9713f76_640.jpg
